data,values
12935706848,119
12934824352,119
12935569056,117
12934070704,117
12933948496,111
12935338144,117
12932663504,117
12933915424,116
12935485264,115
12933315856,115
12936356304,114
12935789904,114
12934050256,114
12922403728,116
12936381152,113
12935394512,113
12934335264,113
12933375296,113
12932014464,112
12917011072,110
12932564944,111
12934633088,110
12934445616,110
12928567792,110
12936036880,109
12933849728,109
12936256800,107
12935584752,107
12935507856,105
12935080832,107
12931427760,106
12936066160,93
12934688832,105
12935522944,104
12935334352,109
12934720352,104
12930812160,104
12935154336,103
12935332336,102
12932781680,108
12931240688,102
12935882000,107
12934217872,101
12935616448,100
12935089024,100
12934644576,100
12934113472,102
12935673968,97
12935817504,96
12934420272,96
12931521184,96
12935481536,95
12934941280,95
12932503424,94
12932144448,94
12930897376,94
12882965888,94
12936099360,93
12935450592,99
12932152272,93
12935947072,92
12935792048,89
12935366800,91
12935516256,90
12933491408,90
12935357120,95
12933865632,95
12933219536,89
12935900944,88
12933854096,88
12931572352,88
12935511600,87
12935387792,87
12935360752,87
12934315312,87
12935887936,86
12933724160,86
12932612128,86
12929198848,86
12934817120,84
12931341728,84
12936064512,67
12935985056,82
12935739264,83
12935141392,83
12931555024,83
12935160224,82
12934521616,64
12917196528,85
12935254256,81
12934765904,77
12934661584,81
12934335120,81
12934316416,81
12932336112,81
12930964720,81
12933970512,80
12936062624,79
12935715600,79
12935295696,79
12935174960,79
12935676736,78
12935225568,78
12934697040,78
12936034240,77
12934161152,77
12933053568,77
12930250176,77
12936398064,76
12935791056,76
12934127712,76
12933108624,76
12931576544,76
12936221472,75
12935912832,75
12933756736,75
12936122352,74
12934876528,69
12934823456,74
12932680384,74
12936191456,73
12935043200,73
12934691712,69
12932909984,73
12935274848,72
12934956320,72
12931744496,72
12921920880,73
12934842256,71
12932175344,71
12930915216,74
12936056912,70
12935957648,69
12935553536,69
12935449856,69
12935050928,66
12931341328,69
12927360416,69
12919439568,69
12914451776,69
12936211920,68
12936018944,68
12935776896,68
12933240288,65
12931831792,68
12934891024,67
12934534624,67
12935586768,66
12934333408,66
12933941792,66
12933832736,66
12933185616,55
12929046464,66
12936103376,65
12936097696,65
12935306752,66
12934713040,60
12934199360,65
12934027504,65
12933857696,65
12935522304,64
12935189376,64
12934966816,68
12933726656,64
12928090912,64
12935983328,63
12934741552,63
12931666720,63
12926500096,63
12935516192,62
12934667552,62
12933573600,62
12933423952,62
12931933472,62
12929766624,62
12918412480,62
12936291312,61
12936224880,61
12935670288,61
12935435872,61
12935060240,64
12935038544,61
12933571664,61
12933251424,61
12930732672,60
12936318192,60
12935425152,60
12935336576,60
12933627376,60
12935097280,59
12934757712,60
12934484352,59
12934302240,59
12932411680,59
12930239920,65
12936325040,58
12936233728,58
12935737472,58
12935553328,58
12935424224,58
12933677152,58
12932687776,58
12934511584,57
12935877248,56
12933931936,56
12936299968,55
12936199728,55
12935348304,55
12933952560,55
12930089152,55
12929102720,55
12928583440,55
12935974960,54
12934748448,54
12933667440,55
12931492896,54
12928653328,54
12936022608,53
12935691200,53
12935422896,46
12934911792,53
12934556432,53
12934448592,53
12934240528,53
12933226800,53
12932356880,50
12931103472,53
12930516432,53
12929050688,53
12935864288,52
12935691744,52
12935024144,52
12933720416,52
12932600592,52
12931884432,52
12934255440,51
12933845104,51
12933521104,51
12933107248,51
12933079248,51
12932190464,51
12936237056,50
12936072496,48
12934804496,50
12934004672,50
12932988080,50
12931042832,50
12930697824,50
12935930704,49
12934560688,49
12934100832,49
12933767152,49
12933189568,51
12932067952,49
12930391920,49
12935404016,48
12934777664,48
12933229488,48
12932722672,48
12935554016,47
12934880272,47
12934042224,47
12933682528,47
12923529408,47
12936234528,46
12935844432,46
12935610976,46
12935443888,46
12935084576,46
12935070496,46
12934932608,46
12934765040,45
12932668400,47
12936172640,39
12935996432,45
12935843776,45
12935820000,45
12935345856,45
12931656320,45
12936391856,44
12935867504,44
12935794480,44
12934775552,44
12934282784,44
12933965344,44
12932274720,44
12931365104,44
12925700800,44
12923458944,44
12936246864,43
12936192864,43
12935681888,43
12935549136,43
12934989424,43
12934905744,43
12934680704,43
12936268128,42
12936047600,42
12935376208,42
12934792880,42
12934760768,42
12934350416,42
12934338784,42
12934206208,42
12933922000,42
12933539968,42
12933134080,41
12932663968,42
12930940320,42
12929808880,42
12936220928,41
12935695040,41
12935540656,41
12935459824,41
12935165408,34
12935049152,41
12934917408,41
12934487904,36
12933842944,41
12933777776,41
12933689280,41
12933022688,41
12932197296,41
12928723456,41
12935491456,40
12935376544,40
12934106912,40
12933545280,40
12933491296,40
12933153344,40
12932532144,40
12930006624,40
12936421360,39
12935245552,42
12935076528,39
12932697296,39
12931320256,39
12930125584,39
12929979280,39
12928855184,39
12924427408,39
12936183888,38
12935930832,38
12935914704,38
12935279552,38
12933631120,38
12928275072,38
12936244464,37
12936047664,37
12936039520,37
12935841088,37
12935558528,37
12935352624,37
12935235184,37
12934676672,37
12934591504,37
12934177760,37
12934036592,37
12933699968,37
12933330688,37
12932834688,37
12932814544,37
12929719008,37
12918482400,38
12936314752,36
12935828112,36
12935819184,36
12935364864,36
12935348432,36
12935327056,36
12935221968,36
12933721536,36
12931501376,36
12928803072,36
12935905840,35
12935377440,35
12935054720,35
12935040992,35
12934498464,35
12932698800,35
12931449696,35
12922946672,35
12936416832,34
12936338064,34
12936216256,34
12936146448,34
12936081808,34
12936068656,34
12935830704,34
12935497648,36
12935489808,34
12935341632,29
12934719120,34
12934553984,34
12934457456,34
12932925072,34
12932236736,34
12931452496,34
12930920608,34
12928373520,34
12935651616,33
12934888560,33
12934532320,33
12934425904,33
12934226096,33
12933046000,33
12930594736,33
12936338640,32
12936026672,32
12936006880,32
12935967136,32
12935788464,32
12935586320,24
12935552336,32
12935458608,32
12935208432,32
12935106512,32
12934894512,32
12934891872,32
12934505376,32
12934376976,32
12934131968,32
12933659264,32
12933583664,32
12933428304,32
12931552784,32
12931454080,32
12931360096,32
12931087040,32
12931050512,32
12930192224,32
12936083904,31
12935788672,31
12935698064,31
12935658128,31
12935529184,31
12935101760,31
12934437712,34
12934009104,31
12933518768,31
12933219328,31
12932778400,31
12931309904,31
12928422224,31
12924861424,31
12936326640,30
12936262800,30
12936249088,30
12936093392,30
12936077648,30
12935992368,30
12935975344,30
12935583520,36
12935326912,30
12935106896,30
12934711456,29
12934502032,30
12934501200,30
12934423696,31
12934415440,30
12933987392,30
12933867536,30
12933823392,30
12933418240,30
12933087152,30
12932909856,30
12932277152,30
12932067424,30
12930267984,30
12920715696,30
12918252480,30
12936348320,29
12936322608,29
12935904272,29
12935870704,29
12935755632,29
12935630704,29
12935589696,29
12935496160,29
12935432656,29
12935240016,29
12935234960,29
12934951712,29
12934239360,29
12934187776,29
12933742608,29
12933056848,29
12932918112,29
12932710752,29
12932414816,29
12931743888,29
12929809024,29
12929131088,29
12915609344,29
12936231680,28
12936024064,28
12935837760,28
12935827168,28
12935407552,28
12935393696,28
12935376016,28
12935159584,28
12934885600,28
12933923536,28
12933738432,28
12933134800,27
12932794976,28
12932649680,28
12932497280,28
12932023024,28
12931475616,28
12931015584,28
12927874496,28
12925858400,28
12936120768,21
12935594528,27
12935566256,24
12935361520,26
12934827584,26
12934704480,27
12934052736,28
12933970432,27
12933213648,24
12933051440,27
12932708400,27
12936023008,26
12935870816,26
12935768800,26
12935550912,26
12935295856,25
12935134416,26
12934769728,26
12934750640,26
12934718224,26
12933909472,26
12933516640,26
12933131696,26
12929494112,26
12918834992,26
12936274768,25
12936268944,25
12936128848,25
12936017472,25
12935663008,25
12935655120,20
12935623296,25
12935543296,25
12935491360,25
12935474944,25
12935467632,25
12935466256,25
12935411568,25
12935234992,25
12935214528,25
12935173840,19
12935071568,25
12935064768,26
12934597664,25
12934383952,25
12934013888,25
12933787120,25
12933434192,25
12932966496,25
12932735232,25
12932543248,24
12932029456,25
12931279920,25
12929599744,25
12929419984,25
12919671920,25
12936285104,24
12936019728,24
12935992656,25
12935880112,24
12935879984,22
12935593312,24
12935565984,25
12935549648,24
12935547360,24
12935421536,26
12935371472,24
12935366272,24
12935174848,24
12935100336,24
12935096800,24
12934571568,20
12934524656,24
12934476112,25
12934071408,20
12933711040,22
12933578368,24
12933369040,27
12933105600,24
12932757184,24
12933300784,24
12932913696,24
12932281264,24
12932240896,24
12928543584,24
12928491344,24
12923624880,24
12936069776,23
12936057392,23
12936010688,23
12935995408,23
12935840624,23
12935742544,23
12935688416,23
12935606416,23
12935571184,23
12935456256,23
12935381488,23
12935328192,23
12935293216,23
12935075584,23
12934866800,23
12934750576,23
12934706272,25
12933917520,23
12933415616,23
12933140384,23
12932562816,23
12932049008,23
12931883760,22
12930837264,23
12930351728,23
12926592256,23
12936392400,22
12936377040,22
12936296928,22
12936146656,22
12936103744,22
12935826272,22
12935797904,22
12935728336,22
12935460160,22
12935292480,22
12935235120,22
12935210688,22
12935110800,22
12934983072,22
12934143888,22
12934055152,22
12934050464,22
12934023376,22
12933741888,22
12933648016,22
12933392000,22
12932338464,22
12931667248,22
12930373856,22
12924087840,22
12936364048,21
12936158560,21
12936087744,21
12936003920,21
12935903360,21
12935801136,23
12935543376,21
12935425872,19
12935408528,21
12935369056,21
12935178064,21
12935050736,21
12934966848,21
12934828224,21
12934676256,21
12934663440,21
12934232896,21
12933727104,21
12933414432,21
12932969984,21
12932779792,21
12932663680,21
12931676992,21
12931435904,21
12931006832,21
12928262496,21
12936178832,20
12936155728,20
12936123216,20
12936122000,20
12936111712,20
12936038816,20
12935800928,19
12935645680,19
12935581968,20
12935534560,20
12935506976,20
12935385488,20
12935378912,20
12935363312,20
12935350096,20
12935265232,20
12935247360,20
12935081472,20
12935055792,20
12935048416,20
12935022624,20
12934715296,20
12934405680,20
12934211152,20
12934126432,20
12934125120,20
12934002640,20
12933954960,20
12933935584,20
12933896880,20
12933370016,20
12932932304,20
12932659792,20
12932412528,20
12931569040,20
12931154016,21
12930636736,20
12926325232,20
12936400000,19
12936392288,19
12936374512,19
12936349872,19
12936330448,17
12936286768,19
12936116320,19
12936111824,19
12936079520,19
12936071328,19
12935981808,19
12935940352,19
12935905776,19
12935870112,19
12935791552,19
12935696080,19
12935547424,19
12935469472,19
12935417280,19
12935356464,20
12935319328,19
12935309632,19
12935260384,19
12935249344,19
12935059952,19
12934882032,19
12934759008,19
12934686224,19
12934682912,19
12934559920,19
12934408016,19
12934022368,19
12933926800,19
12933625296,19
12933549248,19
12933533520,19
12933228016,18
12932787968,19
12932550640,19
12930959680,19
12930942944,19
12926461216,19
12936371328,18
12936347744,18
12936328704,18
12936210080,17
12936163200,18
12936093520,18
12935989760,18
12935594640,18
12935550656,18
12935473328,18
12935451312,18
12935419008,15
12935393888,18
12935392560,16
12935331184,18
12935326704,18
12935221872,18
12934907168,18
12934822784,18
12934631376,18
12934345136,18
12934302656,18
12934341120,18
12934091872,18
12933869728,18
12933285552,18
12933280288,18
12933021632,18
12932114384,18
12930322432,18
12930229184,18
12929919104,18
12936325456,17
12936287664,17
12936168304,17
12936110944,17
12936040432,17
12936026064,17
12935954032,17
12935740032,20
12935673760,15
12935641120,16
12935586880,15
12935515872,17
12935370944,16
12935244016,17
12935056704,17
12934895920,17
12934425840,17
12934373312,17
12934072560,17
12934015136,17
12933540816,17
12933378064,17
12933304112,16
12933277424,17
12933145152,17
12933004752,17
12932890848,16
12932232576,17
12932211360,17
12932120352,17
12931748000,17
12930638112,17
12936356128,16
12936159696,14
12936155216,16
12936086160,16
12936078928,16
12935999616,16
12935943632,16
12935922384,17
12935910400,16
12935797392,17
12935711184,16
12935558096,16
12935459648,13
12935434240,16
12935286896,16
12935246048,16
12935174448,15
12935145120,16
12935080336,17
12935009280,16
12934989920,16
12934896608,13
12934828720,15
12934821008,16
12934751216,15
12934473328,14
12934332480,16
12934293440,16
12934243632,13
12934242976,16
12934135680,16
12933676800,16
12933246672,15
12932894480,16
12931651104,16
12930932064,15
12929538672,16
12917167664,16
12895133984,15
12936401920,15
12936335312,15
12936239856,15
12936229184,16
12936106576,15
12935975248,15
12935957264,15
12935932416,15
12935860944,15
12935743376,15
12935593024,15
12935454208,15
12935336128,15
12935064192,15
12935024800,15
12934875424,14
12934793920,15
12934655168,11
12934651040,15
12934588784,16
12934551744,15
12934504256,15
12934361696,15
12934138272,15
12934015024,15
12933956064,15
12933955104,15
12933851392,15
12933811152,15
12933743216,16
12933707824,15
12933655072,15
12933595984,15
12933577664,15
12933514320,15
12933193120,15
12933144832,15
12932827456,13
12932679264,15
12932605808,15
12932408256,15
12932323424,16
12932278640,17
12931705152,15
12931316960,15
12930253872,15
12930121600,15
12926915296,15
12926870768,14
12926224384,15
12917707120,15
12936331520,14
12936299296,16
12936274976,14
12936242640,14
12936235520,14
12936230928,14
12936191760,14
12936152208,14
12936116384,14
12936110928,14
12936090336,14
12936080128,14
12936025024,14
12935948480,14
12935923632,14
12935892320,15
12935879472,14
12935877488,14
12935862000,14
12935853280,16
12935690448,14
12935685728,14
12935636032,14
12935628400,14
12935626880,14
12935595296,14
12935574576,14
12935568768,14
12935489584,12
12935466112,13
12935456848,14
12935398960,14
12935308528,15
12935245792,15
12935134080,14
12935064608,15
12935034112,14
12935033408,14
12935025808,14
12935018384,14
12934892160,14
12934867072,14
12934766544,15
12934735552,14
12934656416,14
12934427184,14
12934317120,14
12934097632,14
12934055264,14
12933953152,14
12933833952,14
12933490736,14
12933445504,14
12933389248,14
12932854000,14
12932476704,14
12932425616,14
12932314240,14
12932228224,14
12932192080,14
12932094752,14
12931651200,14
12931234128,14
12931101776,14
12930934448,14
12930426448,14
12930360144,14
12926840416,14
12920219744,14
12914612880,14
12936193600,13
12936148096,13
12936111360,13
12936082768,13
12936040160,13
12935984240,13
12935978640,13
12935950880,13
12935936576,13
12935874720,13
12935812336,13
12935810272,13
12935796208,13
12935734928,13
12935734160,13
12935713920,12
12935688480,10
12935657600,13
12935633808,13
12935617424,13
12935609712,11
12935528240,13
12935517568,13
12935509504,13
12935397952,13
12935397264,12
12935386768,13
12935382448,13
12935129344,13
12935090576,12
12935026784,13
12934903536,13
12934759056,13
12934730480,13
12934725072,13
12934723568,13
12934680416,13
12934623168,13
12934339456,13
12934194992,13
12934020512,12
12933360336,13
12933283152,13
12933115984,13
12933086720,13
12932985904,13
12932862816,13
12932809088,13
12932690160,13
12932536688,13
12932521040,13
12932450208,13
12932349056,13
12930917616,13
12927936160,14
12926848352,13
12926471168,13
12924662224,13
12924123376,13
12923888832,13
12936412416,12
12936358992,12
12936308400,12
12936304656,12
12936302272,12
12936051200,12
12936043168,15
12935905040,12
12935872352,12
12935836416,10
12935834432,12
12935799840,14
12935749584,12
12935732816,12
12935705712,12
12935694768,10
12935684496,12
12935673584,12
12935546128,12
12935534832,12
12935479344,12
12935474448,12
12935455136,12
12935444416,12
12935393120,12
12935273456,12
12935238544,12
12935121200,12
12935099392,12
12935085216,12
12935061104,12
12935009504,12
12934981328,12
12934702816,12
12934672704,12
12934639680,12
12934637616,12
12934233056,12
12934133280,16
12933762240,12
12933651024,12
12933312192,10
12933202432,12
12932818592,17
12932729392,12
12932541792,11
12932328080,11
12932273648,12
12932250272,12
12931967888,12
12931668976,12
12931413888,12
12930778928,13
12930118640,12
12929598352,12
12929530560,10
12929113152,12
12928801344,12
12927898224,11
12927244944,12
12924467632,12
12936401808,11
12936393248,15
12936386880,12
12936380944,11
12936325792,11
12936289376,11
12936288288,11
12936253472,11
12936236608,11
12936215456,11
12936213744,7
12936207904,11
12936182768,11
12936161584,11
12936157360,11
12936127312,11
12936114208,11
12936092704,11
12936076544,11
12935994400,11
12935993888,11
12935981552,11
12935975440,11
12935940144,11
12935915648,11
12935909136,11
12935906384,11
12935876416,11
12935876320,11
12935867632,9
12935780320,11
12935756032,11
12935720096,11
12935693808,11
12935643008,11
12935541760,11
12935540912,11
12935489056,11
12935472688,11
12935465728,11
12935406752,11
12935388096,11
12935373216,11
12935331056,11
12935303776,11
12935301248,11
12935269552,11
12935260432,11
12935256912,10
12935248496,11
12935173200,11
12935035488,11
12935006608,11
12934982864,10
12934928208,9
12934869568,11
12934865072,11
12934847456,11
12934829408,11
12934801680,11
12934801648,11
12934765280,12
12934720176,11
12934695968,10
12934687056,11
12934657984,11
12934554672,11
12934524768,12
12934491360,11
12934459472,11
12934420368,11
12934304336,11
12934253360,11
12934200160,10
12934185376,11
12934152352,11
12934070592,11
12933843536,11
12933821792,11
12933626176,11
12933608512,11
12933598656,11
12933532640,11
12933469936,11
12933355376,11
12933227488,11
12933009008,11
12932649376,11
12932550112,11
12932527184,11
12932460752,6
12932454128,11
12932071632,11
12931926096,11
12931883360,11
12931879536,11
12931277776,12
12930875376,11
12930874656,11
12930279088,11
12929922192,11
12929767584,11
12929766208,11
12929251088,11
12928576384,11
12928186736,11
12927306576,11
12926233056,11
12804341504,9
12936397200,10
12936380176,10
12936357568,10
12936326704,10
12936313920,10
12936308496,10
12936224000,10
12936194496,10
12936173584,10
12936155568,10
12936148272,10
12936101248,10
12936097216,10
12936054144,10
12936050688,10
12936041312,10
12936040384,10
12936017296,10
12935999120,10
12935996176,10
12935981248,10
12935973888,10
12935943216,9
12935897072,10
12935875056,10
12935866704,10
12935857264,10
12935838880,10
12935807120,10
12935771024,9
12935733552,10
12935707744,10
12935707152,8
12935695568,10
12935678688,10
12935659648,10
12935648080,10
12935559776,10
12935551120,8
12935542896,10
12935542016,10
12935495232,10
12935465376,10
12935438080,10
12935433120,10
12935419120,10
12935414128,10
12935409952,10
12935396256,10
12935395280,10
12935389168,10
12935384336,10
12935381024,10
12935364736,10
12935358144,9
12935308656,10
12935305760,10
12935288208,8
12935284208,10
12935250528,10
12935237216,11
12935201792,10
12935178768,10
12935157024,10
12935153824,10
12935095888,10
12935084240,11
12934958624,12
12934951888,10
12934939840,10
12934867280,10
12934816336,7
12934795776,10
12934793392,10
12934770816,12
12934760224,10
12934757024,10
12934754752,10
12934719472,10
12934706352,10
12934652336,10
12934641664,10
12934617280,10
12934612048,10
12934598464,15
12934589696,10
12934578800,11
12934566224,10
12934521104,10
12934485792,10
12934442192,10
12934427664,10
12934311616,10
12934218400,10
12934212080,10
12934146016,10
12934130480,10
12933587344,10
12933498384,9
12933466672,10
12933407760,10
12933407232,10
12933120400,10
12933034496,9
12932831856,10
12932747344,10
12932517088,10
12932279424,10
12931886224,10
12931628640,10
12931285184,10
12930691760,10
12930638208,10
12930456720,10
12930450944,10
12930349872,10
12927501120,10
12931602512,10
12931435456,10
12930781280,10
12924458816,10
12922558336,10
12920779360,10
12919656848,10
12893282464,10
12936390736,9
12936322000,9
12936283456,9
12936281968,9
12936257760,9
12936239136,9
12936230224,9
12936220240,9
12936203296,9
12936201472,9
12936184896,9
12936182640,9
12936170528,9
12936164096,9
12936148944,9
12936136528,9
12936116848,9
12936092064,9
12936056176,9
12936054976,9
12936045104,9
12936038592,9
12936036288,9
12936023552,9
12935983648,9
12935975120,9
12935959264,9
12935956832,9
12935919984,9
12935915776,9
12935896416,9
12935893040,9
12935890624,9
12935847392,9
12935796016,9
12935720496,9
12935707056,9
12935690256,9
12935681840,9
12935681376,9
12935669488,9
12935645648,9
12935617152,9
12935609760,9
12935571936,9
12935557280,9
12935550720,9
12935548304,9
12935542544,9
12935510896,9
12935479120,9
12935475216,9
12935448736,9
12935435344,9
12935407296,9
12935393008,9
12935381568,9
12935363056,9
12935362272,10
12935337920,9
12935330624,9
12935315232,9
12935250608,9
12935241376,9
12935187632,9
12935182512,9
12935149776,9
12935072064,9
12935058032,9
12935016544,9
12935014400,9
12935006064,9
12935004896,9
12934987664,9
12934975872,9
12934948112,9
12934906432,9
12934886464,9
12934884912,9
12934859200,9
12934853024,9
12934759456,9
12934758704,9
12934725696,9
12934723024,9
12934715024,9
12934676416,9
12934675216,9
12934627744,9
12934622000,9
12934573168,9
12934569840,9
12934521696,9
12934470720,9
12934467536,9
12934462464,9
12934417776,9
12934399552,14
12934382816,9
12934342128,9
12934340384,9
12934284448,9
12934270240,9
12934260912,9
12934081024,9
12934012256,9
12933957920,9
12933943120,9
12933873584,9
12933865344,9
12933736240,9
12933555456,9
12933467216,9
12933383712,8
12933146656,9
12933000352,9
12932731120,9
12932534064,9
12932438208,9
12932319872,9
12932304464,9
12932247024,9
12932239824,9
12932196320,9
12932064032,9
12931963488,9
12931817872,9
12931806720,9
12931695776,9
12931514720,9
12931295344,9
12931250704,8
12931164416,8
12931069024,9
12930768112,9
12930721088,9
12930223680,9
12929999440,9
12929464912,9
12929342976,9
12928793904,9
12928249552,9
12925766688,9
12924914816,9
12924143072,9
12923074096,9
12922757632,9
12920259936,9
12900490880,9
12936418496,8
12936406368,8
12936390240,8
12936385600,8
12936383968,8
12936368448,8
12936367744,8
12936350144,9
12936347920,8
12936345136,8
12936337744,8
12936298112,8
12936292272,8
12936280592,8
12936268208,8
12936264384,8
12936237280,8
12936232448,7
12936213920,8
12936210944,8
12936205216,8
12936195600,8
12936192480,8
12936186768,8
12936173744,8
12936170160,8
12936169328,9
12936167760,8
12936155648,8
12936146640,8
12936142288,8
12936117616,8
12936107392,8
12936106240,8
12936103664,8
12936098880,8
12936097264,8
12936075072,8
12936067968,8
12936063840,8
12936063024,8
12936060704,8
12936058400,8
12936056816,8
12936055136,8
12936034000,8
12936015072,7
12936014640,8
12935986768,8
12935974144,8
12935966960,8
12935962928,8
12935957056,8
12935946048,8
12935945280,8
12935941120,8
12935934848,8
12935933968,8
12935930864,8
12935912080,7
12935911840,8
12935906304,8
12935898656,8
12935879776,8
12935872800,8
12935861296,8
12935859312,8
12935859280,8
12935846368,8
12935835008,8
12935833168,8
12935827952,8
12935799536,7
12935787600,8
12935778112,8
12935775632,8
12935773440,8
12935717056,8
12935716096,8
12935640192,8
12935603968,8
12935597632,8
12935596288,8
12935589184,8
12935586960,8
12935580416,8
12935565760,8
12935565376,8
12935549408,8
12935546080,8
12935545488,8
12935545200,8
12935533952,8
12935516496,8
12935512416,8
12935509616,8
12935475456,8
12935472832,8
12935469936,8
12935464304,8
12935462992,8
12935456544,8
12935434832,8
12935431360,8
12935418416,8
12935405456,8
12935398448,8
12935378544,8
12935377744,8
12935376192,8
12935364240,8
12935336704,8
12935336096,8
12935333040,8
12935311024,9
12935295936,8
12935293408,8
12935273296,8
12935255856,8
12935240544,8
12935238352,8
12935230880,9
12935224992,8
12935214352,8
12935209472,8
12935204240,8
12935198096,8
12935128944,8
12935117776,8
12935077344,8
12935074832,8
12935056384,8
12935034864,8
12935011696,8
12934997696,8
12934949424,8
12934931392,8
12934909920,8
12934896704,4
12934828880,8
12934827184,8
12934775632,8
12934765104,8
12934734688,8
12934703504,8
12934694112,8
12934691904,8
12934688560,8
12934637712,8
12934613216,8
12934542112,7
12934538624,8
12934528560,8
12934525808,8
12934518176,8
12934492976,8
12934454320,8
12934437200,8
12934425680,8
12934388992,8
12934281840,8
12934082480,8
12934063024,8
12933970288,8
12933900912,6
12933860032,8
12933836256,8
12933835408,8
12933817504,8
12933749504,8
12933736960,8
12933716880,11
12933587984,8
12933585440,8
12933528304,8
12933499952,8
12933454688,8
12933310608,8
12933287024,8
12933277152,8
12933260464,7
12933217712,8
12933136512,6
12933090896,8
12933072048,8
12933023968,8
12932937888,8
12932866304,8
12932754800,8
12932692032,8
12932672000,8
12932626944,8
12932477968,8
12932360208,8
12932348160,8
12932305264,8
12932268416,8
12932057888,8
12932029344,8
12932018320,8
12932014208,8
12931852080,8
12931825696,8
12931798880,8
12931666176,8
12931291024,8
12930926560,8
12930565312,8
12930368432,8
12930265296,8
12929238192,8
12928554976,8
